Real Imaginary
1.0030800251370576e+02 6.9693238094424479e-17
1.0070600291484860e+02 8.6357495049024890e-17
1.0073992897113902e+02 2.2221916524631653e-15
1.0090905716254098e+02 -7.4477155677067806e-16
1.0103755732630881e+02 2.7004996727475278e-16
1.0135828853269145e+02 2.7103034007126101e-15
1.0218828668323893e+02 9.0192511682437792e-15
1.0235863364799015e+02 5.2396497057432597e-16
1.0303281582700514e+02 1.6509855202147678e-16
1.0549993166625865e+02 1.0545684778666489e-15
1.0594479040821574e+02 -1.5359072634516104e-14
1.0627561820884553e+02 -1.8772520530729744e-15
1.0721241556369360e+02 3.6577007124129679e-15
1.0754186975127033e+02 -5.5647561613487504e-16
1.0851446577791624e+02 2.9070607722534232e-14
1.0853772417737032e+02 2.3730593176414729e-14
1.0947028957096028e+02 -9.4717666672499431e-14
1.1111742785876289e+02 -1.9463743971659759e-13
1.1202388168059846e+02 -1.4147310719032749e-15
1.1231693740575817e+02 1.1707884997999869e-14
1.1248976223040172e+02 -1.5043082855983548e-14
1.1345903135882575e+02 -1.3729467989531192e-14
1.1365212435331647e+02 -2.2416981653634206e-14
1.1462503607581071e+02 -7.4735347422390375e-14
1.1616131006112110e+02 3.7461882711107727e-14
1.1641813751750576e+02 1.4382768376565607e-14
1.1765086340276662e+02 -3.4477227960436230e-15
1.1822178046955221e+02 9.6075847744759304e-14
1.1865082696265671e+02 1.1102700886974489e-13
1.1942273057403686e+02 2.2227306221464747e-14
1.1959534158845712e+02 -8.9588166193659951e-17
1.2021207531411355e+02 -3.0236641160979715e-13
1.2186583812127253e+02 -1.1258432440027925e-13
1.2255623261766331e+02 5.4383734791818836e-13
1.2282224886696345e+02 -6.5310465004947958e-15
1.2488592989392603e+02 1.4510333915891980e-13
1.2521565178566196e+02 1.4429431888417605e-13
1.2695611824328104e+02 -4.4791094114542182e-15
1.2725114254244518e+02 1.0297831788843612e-14
1.2741404139737435e+02 -1.7986919475145344e-14
1.2821632609714683e+02 -1.1804781847334001e-15
1.3003590622896863e+02 -1.7903765719581439e-14
1.3013258599734843e+02 -3.4594170364085907e-15
