# Real Imaginary
1.7841437551537966e+06 0.0000000000000000e+00
1.4714641959148517e+06 0.0000000000000000e+00
1.4435588222870140e+06 0.0000000000000000e+00
1.4124739257382420e+06 0.0000000000000000e+00
1.3870422925428879e+06 0.0000000000000000e+00
1.3567895862717433e+06 0.0000000000000000e+00
1.3346659920680681e+06 0.0000000000000000e+00
1.2832522062752664e+06 0.0000000000000000e+00
1.0901361817907309e+06 0.0000000000000000e+00
1.0664513756298653e+06 0.0000000000000000e+00
1.0231449896053799e+06 0.0000000000000000e+00
1.0024372403116146e+06 0.0000000000000000e+00
9.8202097511802963e+05 0.0000000000000000e+00
9.6354757260460244e+05 0.0000000000000000e+00
9.2826116057357402e+05 0.0000000000000000e+00
9.1718565201150172e+05 0.0000000000000000e+00
9.0797326017088757e+05 0.0000000000000000e+00
8.3430259926530812e+05 0.0000000000000000e+00
8.2889415229606745e+05 0.0000000000000000e+00
8.2677948361737514e+05 0.0000000000000000e+00
8.2402618122207001e+05 0.0000000000000000e+00
8.2152883603507059e+05 0.0000000000000000e+00
8.1799799150228617e+05 0.0000000000000000e+00
8.1568818832839129e+05 0.0000000000000000e+00
8.1117198688039125e+05 0.0000000000000000e+00
7.9654724042720825e+05 0.0000000000000000e+00
7.9960181895594066e+05 0.0000000000000000e+00
8.0794510916664556e+05 0.0000000000000000e+00
8.0340345417076850e+05 0.0000000000000000e+00
8.0539009802038455e+05 0.0000000000000000e+00
8.0582245361522306e+05 0.0000000000000000e+00
7.6651288796022977e+05 0.0000000000000000e+00
7.3699121073945763e+05 0.0000000000000000e+00
6.9534240215056145e+05 0.0000000000000000e+00
6.8171039770180616e+05 0.0000000000000000e+00
6.7137542355573305e+05 0.0000000000000000e+00
6.5805984562088735e+05 0.0000000000000000e+00
6.6020011750602536e+05 0.0000000000000000e+00
6.4706417758981301e+05 0.0000000000000000e+00
6.4734625888465811e+05 0.0000000000000000e+00
6.3552716738042433e+05 0.0000000000000000e+00
6.3782668627439172e+05 0.0000000000000000e+00
6.2559910185074713e+05 0.0000000000000000e+00
6.2140640966142609e+05 0.0000000000000000e+00
6.1965553012990102e+05 0.0000000000000000e+00
6.1180623308230320e+05 0.0000000000000000e+00
6.0284263198025047e+05 0.0000000000000000e+00
5.6463313999325363e+05 0.0000000000000000e+00
5.5744964517028956e+05 0.0000000000000000e+00
5.3555519384008658e+05 0.0000000000000000e+00
5.2957910036369704e+05 0.0000000000000000e+00
5.2859619259042828e+05 0.0000000000000000e+00
5.2705585986880760e+05 0.0000000000000000e+00
5.2315874837087252e+05 0.0000000000000000e+00
5.2189048938260536e+05 0.0000000000000000e+00
5.1980479474936309e+05 0.0000000000000000e+00
5.1786912423619692e+05 0.0000000000000000e+00
5.1556250770628580e+05 0.0000000000000000e+00
5.1260840236877702e+05 0.0000000000000000e+00
5.0777169100931333e+05 0.0000000000000000e+00
5.0326365236111270e+05 0.0000000000000000e+00
4.9999963448522316e+05 0.0000000000000000e+00
4.8906337194525864e+05 0.0000000000000000e+00
4.8513672218509158e+05 0.0000000000000000e+00
4.8066257232112350e+05 0.0000000000000000e+00
4.6553240051322716e+05 0.0000000000000000e+00
4.5957361338934669e+05 0.0000000000000000e+00
4.5316114205481351e+05 0.0000000000000000e+00
4.4972934704028774e+05 0.0000000000000000e+00
4.4715642787237227e+05 0.0000000000000000e+00
4.4825167737886612e+05 0.0000000000000000e+00
4.4403548102559685e+05 0.0000000000000000e+00
4.4191571702400921e+05 0.0000000000000000e+00
4.4255636618610396e+05 0.0000000000000000e+00
4.3671511147443543e+05 0.0000000000000000e+00
4.3794447939401172e+05 0.0000000000000000e+00
4.3191568532236264e+05 0.0000000000000000e+00
4.2977187413865520e+05 0.0000000000000000e+00
4.3074226356320741e+05 0.0000000000000000e+00
4.2196829186151637e+05 0.0000000000000000e+00
4.2042438386836415e+05 0.0000000000000000e+00
4.0954122917182633e+05 0.0000000000000000e+00
4.0346441198667610e+05 0.0000000000000000e+00
3.9526624710615992e+05 0.0000000000000000e+00
3.8959562824635440e+05 0.0000000000000000e+00
3.8680500344010460e+05 0.0000000000000000e+00
3.8009341721587494e+05 0.0000000000000000e+00
3.7648196452385839e+05 0.0000000000000000e+00
3.7504876445369911e+05 0.0000000000000000e+00
3.7399153562594362e+05 0.0000000000000000e+00
3.7236782330462104e+05 0.0000000000000000e+00
3.7206656523600157e+05 0.0000000000000000e+00
3.6686779072528530e+05 0.0000000000000000e+00
3.6346237665856601e+05 0.0000000000000000e+00
3.6313427693108731e+05 0.0000000000000000e+00
3.6248421178077772e+05 0.0000000000000000e+00
3.6123185659655288e+05 0.0000000000000000e+00
3.5765645732289477e+05 0.0000000000000000e+00
3.5580206390623382e+05 0.0000000000000000e+00
3.5478342314462882e+05 0.0000000000000000e+00
3.5422418836069829e+05 0.0000000000000000e+00
3.5384832281087653e+05 0.0000000000000000e+00
3.5161697654866101e+05 0.0000000000000000e+00
3.4933074340824265e+05 0.0000000000000000e+00
3.4650720347984025e+05 0.0000000000000000e+00
3.4415967463912646e+05 0.0000000000000000e+00
3.4129547673078655e+05 0.0000000000000000e+00
3.3868130657209677e+05 0.0000000000000000e+00
3.3658783382235700e+05 0.0000000000000000e+00
3.3243338424231071e+05 0.0000000000000000e+00
3.3039747857762832e+05 0.0000000000000000e+00
3.2736807291878219e+05 0.0000000000000000e+00
3.2672489840955666e+05 0.0000000000000000e+00
3.2675388547578471e+05 0.0000000000000000e+00
3.2376368621535855e+05 0.0000000000000000e+00
3.1565929988608428e+05 0.0000000000000000e+00
3.1525631366259960e+05 0.0000000000000000e+00
3.1275331519967818e+05 0.0000000000000000e+00
3.1189178801225853e+05 0.0000000000000000e+00
3.0843178658885305e+05 0.0000000000000000e+00
3.0818241182244575e+05 0.0000000000000000e+00
3.0635414844752435e+05 0.0000000000000000e+00
3.0440823984505347e+05 0.0000000000000000e+00
3.0399269845856715e+05 0.0000000000000000e+00
3.0152219469040877e+05 0.0000000000000000e+00
3.0104682062246004e+05 0.0000000000000000e+00
2.9961386553071637e+05 0.0000000000000000e+00
2.9709286394479778e+05 0.0000000000000000e+00
2.9647963294038124e+05 0.0000000000000000e+00
2.9688486625863047e+05 0.0000000000000000e+00
2.9481042646226019e+05 0.0000000000000000e+00
2.9413337217277719e+05 0.0000000000000000e+00
2.9382324012149830e+05 0.0000000000000000e+00
2.9291138994927966e+05 0.0000000000000000e+00
2.9138407633167988e+05 0.0000000000000000e+00
2.9002929553462460e+05 0.0000000000000000e+00
2.8864876329535997e+05 0.0000000000000000e+00
2.8846010596526857e+05 0.0000000000000000e+00
2.8746533654175350e+05 0.0000000000000000e+00
2.8791986081261677e+05 0.0000000000000000e+00
2.8636075633781549e+05 0.0000000000000000e+00
2.8638806874576485e+05 0.0000000000000000e+00
2.8471963284878549e+05 0.0000000000000000e+00
2.8354496111624059e+05 0.0000000000000000e+00
2.8342519177678018e+05 0.0000000000000000e+00
2.8033622446536284e+05 0.0000000000000000e+00
2.7898191166547377e+05 0.0000000000000000e+00
2.7575727827403712e+05 0.0000000000000000e+00
2.7553322810890561e+05 0.0000000000000000e+00
2.7429045284392056e+05 0.0000000000000000e+00
2.6906471660421154e+05 0.0000000000000000e+00
2.6362118293962080e+05 0.0000000000000000e+00
2.5505548429771629e+05 0.0000000000000000e+00
2.5215053274275330e+05 0.0000000000000000e+00
2.5015074875405314e+05 0.0000000000000000e+00
2.4845519802827266e+05 0.0000000000000000e+00
2.4746324487830332e+05 0.0000000000000000e+00
2.4545608109798751e+05 0.0000000000000000e+00
2.4524581679223906e+05 0.0000000000000000e+00
